2019-02-27 16:22:43 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2019-02-27 16:22:43 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:43 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:43 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:43 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:43 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:43 status half-configured dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:43 status installed dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:43 startup archives install
2019-02-27 16:22:43 install libc6:amd64 <none> 2.23-0ubuntu3
2019-02-27 16:22:43 status half-installed libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:43 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:43 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:43 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2019-02-27 16:22:43 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:43 status unpacked libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:43 status half-configured libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:44 status installed libc6:amd64 2.23-0ubuntu3
2019-02-27 16:22:44 startup archives install
2019-02-27 16:22:44 install perl-base:amd64 <none> 5.22.1-9
2019-02-27 16:22:44 status half-installed perl-base:amd64 5.22.1-9
2019-02-27 16:22:44 status unpacked perl-base:amd64 5.22.1-9
2019-02-27 16:22:44 status unpacked perl-base:amd64 5.22.1-9
2019-02-27 16:22:44 configure perl-base:amd64 5.22.1-9 5.22.1-9
2019-02-27 16:22:44 status unpacked perl-base:amd64 5.22.1-9
2019-02-27 16:22:44 status half-configured perl-base:amd64 5.22.1-9
2019-02-27 16:22:44 status installed perl-base:amd64 5.22.1-9
2019-02-27 16:22:44 startup archives install
2019-02-27 16:22:44 install mawk:amd64 <none> 1.3.3-17ubuntu2
2019-02-27 16:22:44 status half-installed mawk:amd64 1.3.3-17ubuntu2
2019-02-27 16:22:44 status unpacked mawk:amd64 1.3.3-17ubuntu2
2019-02-27 16:22:44 status unpacked mawk:amd64 1.3.3-17ubuntu2
2019-02-27 16:22:44 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2019-02-27 16:22:44 status unpacked mawk:amd64 1.3.3-17ubuntu2
2019-02-27 16:22:44 status half-configured mawk:amd64 1.3.3-17ubuntu2
2019-02-27 16:22:44 status installed mawk:amd64 1.3.3-17ubuntu2
2019-02-27 16:22:44 startup archives unpack
2019-02-27 16:22:44 install adduser:all <none> 3.113+nmu3ubuntu4
2019-02-27 16:22:44 status half-installed adduser:all 3.113+nmu3ubuntu4
2019-02-27 16:22:44 status unpacked adduser:all 3.113+nmu3ubuntu4
2019-02-27 16:22:44 status unpacked adduser:all 3.113+nmu3ubuntu4
2019-02-27 16:22:44 upgrade base-files:amd64 9.4ubuntu4 9.4ubuntu4
2019-02-27 16:22:44 status half-configured base-files:amd64 9.4ubuntu4
2019-02-27 16:22:44 status unpacked base-files:amd64 9.4ubuntu4
2019-02-27 16:22:44 status half-installed base-files:amd64 9.4ubuntu4
2019-02-27 16:22:44 status half-installed base-files:amd64 9.4ubuntu4
2019-02-27 16:22:44 status unpacked base-files:amd64 9.4ubuntu4
2019-02-27 16:22:44 status unpacked base-files:amd64 9.4ubuntu4
2019-02-27 16:22:44 upgrade base-passwd:amd64 3.5.39 3.5.39
2019-02-27 16:22:44 status half-configured base-passwd:amd64 3.5.39
2019-02-27 16:22:44 status unpacked base-passwd:amd64 3.5.39
2019-02-27 16:22:44 status half-installed base-passwd:amd64 3.5.39
2019-02-27 16:22:44 status half-installed base-passwd:amd64 3.5.39
2019-02-27 16:22:44 status unpacked base-passwd:amd64 3.5.39
2019-02-27 16:22:44 status unpacked base-passwd:amd64 3.5.39
2019-02-27 16:22:44 install bash:amd64 <none> 4.3-14ubuntu1
2019-02-27 16:22:44 status half-installed bash:amd64 4.3-14ubuntu1
2019-02-27 16:22:44 status unpacked bash:amd64 4.3-14ubuntu1
2019-02-27 16:22:44 status unpacked bash:amd64 4.3-14ubuntu1
2019-02-27 16:22:44 install bsdutils:amd64 <none> 1:2.27.1-6ubuntu3
2019-02-27 16:22:44 status half-installed bsdutils:amd64 1:2.27.1-6ubuntu3
2019-02-27 16:22:44 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2019-02-27 16:22:44 status unpacked bsdutils:amd64 1:2.27.1-6ubuntu3
2019-02-27 16:22:44 install coreutils:amd64 <none> 8.25-2ubuntu2
2019-02-27 16:22:44 status half-installed coreutils:amd64 8.25-2ubuntu2
2019-02-27 16:22:44 status unpacked coreutils:amd64 8.25-2ubuntu2
2019-02-27 16:22:44 status unpacked coreutils:amd64 8.25-2ubuntu2
2019-02-27 16:22:44 install dash:amd64 <none> 0.5.8-2.1ubuntu2
2019-02-27 16:22:44 status half-installed dash:amd64 0.5.8-2.1ubuntu2
2019-02-27 16:22:44 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2019-02-27 16:22:44 status unpacked dash:amd64 0.5.8-2.1ubuntu2
2019-02-27 16:22:44 install debconf:all <none> 1.5.58ubuntu1
2019-02-27 16:22:44 status half-installed debconf:all 1.5.58ubuntu1
2019-02-27 16:22:44 status unpacked debconf:all 1.5.58ubuntu1
2019-02-27 16:22:44 status unpacked debconf:all 1.5.58ubuntu1
2019-02-27 16:22:44 install debianutils:amd64 <none> 4.7
2019-02-27 16:22:44 status half-installed debianutils:amd64 4.7
2019-02-27 16:22:44 status unpacked debianutils:amd64 4.7
2019-02-27 16:22:44 status unpacked debianutils:amd64 4.7
2019-02-27 16:22:44 install diffutils:amd64 <none> 1:3.3-3
2019-02-27 16:22:44 status half-installed diffutils:amd64 1:3.3-3
2019-02-27 16:22:44 status unpacked diffutils:amd64 1:3.3-3
2019-02-27 16:22:44 status unpacked diffutils:amd64 1:3.3-3
2019-02-27 16:22:44 upgrade dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2019-02-27 16:22:44 status half-configured dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:44 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:44 status half-installed dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:45 status half-installed dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:45 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:45 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-02-27 16:22:45 install e2fslibs:amd64 <none> 1.42.13-1ubuntu1
2019-02-27 16:22:45 status half-installed e2fslibs:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:45 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:45 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:45 install e2fsprogs:amd64 <none> 1.42.13-1ubuntu1
2019-02-27 16:22:45 status half-installed e2fsprogs:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:45 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:45 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2019-02-27 16:22:45 install findutils:amd64 <none> 4.6.0+git+20160126-2
2019-02-27 16:22:45 status half-installed findutils:amd64 4.6.0+git+20160126-2
2019-02-27 16:22:45 status unpacked findutils:amd64 4.6.0+git+20160126-2
2019-02-27 16:22:45 status unpacked findutils:amd64 4.6.0+git+20160126-2
2019-02-27 16:22:45 install gcc-6-base:amd64 <none> 6.0.1-0ubuntu1
2019-02-27 16:22:45 status half-installed gcc-6-base:amd64 6.0.1-0ubuntu1
2019-02-27 16:22:45 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2019-02-27 16:22:45 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2019-02-27 16:22:45 install grep:amd64 <none> 2.24-1
2019-02-27 16:22:45 status half-installed grep:amd64 2.24-1
2019-02-27 16:22:45 status unpacked grep:amd64 2.24-1
2019-02-27 16:22:45 status unpacked grep:amd64 2.24-1
